SerialNo,Vin,DeviceId,service,age
G74720E2A829,3BPZLJ0X9EF241520,b133,1,> 10
G70D20DEC904,3BPZLJ0X0EF241521,b341,1,> 10
G7D720DEB7AC,3BPZLJ0X2EF241522,b2FC,0,> 10
G77820E5803D,3BPZLJ0X4EF241523,b494,0,> 10
G76C20DF02AD,2NP2HJ7X4HM414111,b3AC,1,> 10
G79420D8E987,1FD8X3G68HEB19824,b431,0,> 10
G72620DEC82C,1FVACYCY9FHGK9091,b33B,0,> 10
G7B220D8E5AD,1FVACXFC2KHKM0794,b4FD,1,> 10
G76C20EDAD0E,1FADP3R48JL281278,b4AF,1,> 10
G76C20E2A802,1CYCAK3819T049340,b12E,1,> 10
G7C120D8437C,49HHBVDC65RU75801,b1E,1,> 10
G79220D8432F,49HHBVDC45RU06539,b58,0,> 10
G7E420D84359,49HHBVDC05RU06537,b59,1,> 10
G7CC20E2A7A3,1FT7W2A62HEE38142,b13B,0,> 10
G7A220D84E14,XL95FEHBXHA020390,b466,0,> 10
G7AA20DED9B3,49HHBVDC25RU75813,b41D,1,> 10
G7D520D84E63,49HHBVDC95RU75825,b5D,0,> 10
G7D620D8446A,5VCACRLE7FH218778,b3D,1,> 10
G7C220D84E74,5VCACRLE1FH218758,b3E,1,> 10
G74120D843FC,5VCACRLE3FH218759,b3F,0,> 10
G78520D84439,5VCACRLE9FH218779,b5C,0,> 10
G74D20D84DFA,5VCACRLE5FH218780,b40,1,> 10
G76920D84DDE,5VCACRLE7FH218781,b15,0,> 10
G7DC20D84E6A,5VCACRLE9FH218782,b41,1,8 - 10
G74620D84DF1,5VCACRLE0FH218783,b42,1,8 - 10
G7EC20D84553,5VCACRLEXFH218760,b43,0,8 - 10
G72C20DF9C73,5VCACRLE3FH218762,bEE,0,8 - 10
G74C20DBFC4F,5VCACRLE1FH218761,b8,0,8 - 10
G7DE20D84E68,5VCACRLE5FH218763,b44,0,8 - 10
G7C220EDACA3,3BPZL20XXFF283220,b43B,1,8 - 10
G7CB20DF030D,3BPZL20X1FF283218,b3AD,1,8 - 10
G77820EDAC19,3BPZL20X3FF283219,b15B,1,8 - 10
G75720EDAC36,3BPZL20X1FF283221,b48B,1,8 - 10
G78520EDABE5,2NP2HJ7X6HM414112,b436,1,8 - 10
G74120E57DFB,NM0LS7H72H1293484,b28A,1,8 - 10
G73020DFB241,1N6BD0CT3JN728271,bFF,1,8 - 10
G70420E2C002,1N6BD0CT8JN729688,b161,1,8 - 10
G7F620E2A395,1N6BD0CT4JN729767,b147,1,8 - 10
G79A20E2A3F9,1FDXE4FS5HDC11808,b175,0,8 - 10
G75C20D843E1,5VCACRLE6FH218755,b45,1,8 - 10
G7E220D8445E,5VCACRLE8FH218756,b46,0,4 - 7
G7BD20D84E0B,5VCACRLE7FH218764,b47,1,4 - 7
G7CD20D84370,5VCACRLE9FH218765,b48,1,4 - 7
G7A520D84E13,5VCACRLE0FH218766,b49,0,4 - 7
G7B820D84404,5VCACRLE2FH218767,b16,0,4 - 7
G7EF20D84352,5VCACRLE4FH218771,b4A,1,4 - 7
G7DC20D84361,5VCACRLE1FH218775,b17,1,4 - 7
G7C020D84E76,5VCACRLE8FH218773,b18,0,4 - 7
G70320DBFC00,5VCACRLE6FH218772,bA,0,4 - 7
G7D920D84465,5VCACRLE4FH218768,b4B,0,4 - 7
G7E520D84459,5VCACRLEXFH218774,b1A,0,1 - 3
G7E320D84E55,5VCACRLE6FH218769,b4C,0,1 - 3
G7AF20D84E19,5VCACRLE2FH218770,b4D,0,1 - 3
G75220D84DE5,5VCACRLEXFH218757,b4E,0,1 - 3
G79220D8442E,5VCACRLE3FH218776,b4F,1,1 - 3
G7E920D84354,5VCACRLE5FH218777,b50,0,1 - 3